SETS
0	T16-2010	31	120	180
1	T16-2006	106	61	154
2	T16-2002	227	26	28
3	Finalists	51	160	44
4	WorldChampions	255	127	0
5	Hosts	50	50	50
VERTICES
URY	164.58	-49.259	0
KOR	504.043	-202.976	0	2	5
USA	89.3855	-210.19	0	2
GHA	265.779	-138.805	0	1
DEU	288.985	-236.985	3	0	1	2	5
GBR	268.267	-238.419	0	1	2
MEX	73.3127	-170.447	0	1	2
ARG	148.994	-46.9592	0	1
NLD	279.199	-237.552	3	0	1
SVK	302.81	-230.427	0
BRA	169.963	-101.595	4	3	0	1	2
CHL	135.651	-39.972	0
PRY	157.009	-69.7329	0	2
JPN	523.943	-203.307	0	2	5
ESP	262.831	-210.797	4	3	0	1	2
PRT	254.127	-210.184	0	1
SWE	294.71	-256.121	1	2
AUS	526.247	-67.2959	1
CHE	284.179	-226.007	1
UKR	326.105	-231.033	1
ECU	114.2	-119.094	1
FRA	272.834	-225.748	3	1
ITA	292.004	-216.694	4	3	1	2
IRL	257.076	-239.679	2
DNK	286.082	-246.446	2
BEL	278.114	-233.82	2
TUR	333.451	-209.302	2
SEN	239.548	-155.043	2
ZAF	314.049	-57.54	5
