SETS
0	Japanese	106	61	154
1	d_dd	51	160	44
2	4_5	227	26	28
VERTICES
v1	736.5706359999022	-433.8264119999367	1	2
v2	751.8024429999059	-477.6853739999933	1
v3	720.5826399999205	-466.6666199999745	1	2
v4	764.5496290000156	-432.74614199995995	2
v5	232.6246810000157	-321.9104399999487	2
v6	293.11980099999346	-406.38755399995716	1	2
v7	249.26083900011145	-569.1842429999379	1
v8	297.65693499997724	-515.6028509999742	1	2
v9	258.4431339999428	-500.2630169999902	1	2
v10	328.552657000022	-248.34405299997889	1
v11	336.9787629999919	-431.557845000003	2
v12	334.4941420000978	-449.7063809999963	1
v13	365.2818369999295	-394.72063799999887	2
v14	344.54065300000366	-398.9336909999838	2
v15	394.6651810000185	-161.59837199997855	2
v16	371.11529500002507	-500.58709799998906	1
v17	313.8609850000357	-304.19401199999265	2
v18	355.9915150000015	-295.3357979999855	1
v19	326.60817099991255	-301.70939099998213	2
v20	442.08903399994597	-302.1414990000194	2
v21	384.8347239999566	-290.25852899998426	1
v22	437.4438730000984	-487.29977700003656	2
v23	510.47012499999255	-204.91719900001772	2
v24	488.00050899991766	-196.92320099996869	1
v25	399.5263959999429	-386.72663999994984	1	2
v26	391.5323980000103	-389.427314999979	2
v27	510.7942059999332	-421.18725299998187	1
v28	485.8399689999642	-418.70263200002955	2
v29	460.66967800003476	-521.976444000029	1	2
v30	508.7416929999599	-527.9179289999302	2
v31	474.0650260000257	-519.4918229999603	1
v32	549.0357640000293	-243.59086499997647	1	2
v33	557.6779239999596	-241.75440599996364	1
v34	544.8227109998697	-236.0289749999647	1
v35	449.65092399995774	-485.78739900002256	1	2
v36	474.2810799998697	-382.94569500000216	1	2
v37	462.07402900001034	-375.4918320000288	2
v38	476.11753900011536	-393.74839500000235	1	2
v39	478.49413299991284	-404.9832029999816	1
v40	546.8752239999594	-392.99220599996625	1
v41	558.2180589999771	-463.4258100000443	0
v42	587.7094299999299	-446.5735979999881	0	1
v43	585.872970999917	-457.70037899992894	0	1	2
v44	572.2615689999657	-460.4010539999581	1
v45	646.3680910000112	-318.6696300000185	1
v46	570.533136999933	-514.8466619999381	1	2
v47	544.0665220000083	-481.4663189999992	1	2
v48	592.4626179999905	-264.1159950000001	1
v49	607.6944249999942	-261.19926600001054	0
v50	636.1055260000285	-297.17225700005656	2
v51	604.4536150000058	-297.4963379999972	2
v52	615.9044769998873	-258.4985909999814	1
v53	630.3800950000295	-403.25477100000717	2
v54	661.923979000072	-394.9366919999593	1
v55	619.1452869999921	-488.5961009999737	2
v56	601.212804999901	-475.74088800000027	1
v57	601.1047780000372	-454.2435149999801	2
v58	697.4648619999643	-343.08373200002825	0	2
v59	689.4708640000317	-486.003452999983	1
v60	672.6186519999756	-492.80915399995865	2
v61	664.0845190000255	-449.3822999999975	1	2
v62	841.4648530000122	-368.79415799997514	2
v63	814.4581029999536	-306.2465249999659	0
v64	790.9082170000765	-451.43481300002895	1
v65	828.5016130000586	-414.92168699996546	2
v66	774.4881130000576	-468.8271600000444	2
v67	811.6494010000024	-446.78965200000675	2
v68	833.9029630000005	-436.09497899992857	1	2
v69	198.2720950000221	-115.79492400004528	2
v70	777.728923000046	-455.21575799997663	1
